id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
98,HUN-AUT,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HUN,AUT,0.009665981416031588,1.6,16.0,0.0,ac_ohl_transmission,all,False,
99,HUN-HRV,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HUN,HRV,0.009665981416031588,2.3,23.0,0.0,ac_ohl_transmission,all,False,
100,HUN-ROU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HUN,ROU,0.009665981416031588,1.4,14.0,0.0,ac_ohl_transmission,all,False,
101,HUN-SRB,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HUN,SRB,0.009665981416031588,0.7,28.0,0.0,ac_ohl_transmission,all,False,
102,HUN-SVK,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HUN,SVK,0.009665981416031588,5.4,27.0,0.0,ac_ohl_transmission,all,False,
103,HUN-SVN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,HUN,SVN,0.009665981416031588,0.9,36.0,0.0,ac_ohl_transmission,all,False,
104,IRL-GBR,1.0,175.0,0.0,2.625,0.0,60.0,0.05,IRL,GBR,0.009665981416031588,1.1,11.0,0.0,ac_ohl_transmission,all,False,
105,IRL-FRA,1.0,942.0,0.0,14.13,0.0,60.0,0.05,IRL,FRA,0.0,0.7,28.0,0.0,dc_subsea_transmission,all,False,
106,IRL-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,IRL,GBR,0.0,1.75,17.5,0.0,dc_subsea_transmission,all,False,
107,ISL-GBR,1.0,942.0,0.0,14.13,0.0,60.0,0.05,ISL,GBR,0.0,1.0,40.0,0.0,dc_subsea_transmission,all,False,
108,ITA-AUT,1.0,516.0,0.0,7.74,0.0,60.0,0.05,ITA,AUT,0.007236986168440374,2.3,23.0,0.0,ac_ohl_mountain_transmission,all,False,
109,ITA-CHE,1.0,516.0,0.0,7.74,0.0,60.0,0.05,ITA,CHE,0.007236986168440374,7.5,37.5,0.0,ac_ohl_mountain_transmission,all,False,
110,ITA-FRA,1.0,516.0,0.0,7.74,0.0,60.0,0.05,ITA,FRA,0.007236986168440374,4.8,48.0,0.0,ac_ohl_mountain_transmission,all,False,
111,ITA-SVN,1.0,175.0,0.0,2.625,0.0,60.0,0.05,ITA,SVN,0.009665981416031588,2.6,26.0,0.0,ac_ohl_transmission,all,False,
112,ITA-FRA,1.0,942.0,0.0,14.13,0.0,60.0,0.05,ITA,FRA,0.0,1.8,18.0,0.0,dc_subsea_transmission,all,False,
113,ITA-GRC,1.0,942.0,0.0,14.13,0.0,60.0,0.05,ITA,GRC,0.0,1.0,40.0,0.0,dc_subsea_transmission,all,False,
114,ITA-MNE,1.0,942.0,0.0,14.13,0.0,60.0,0.05,ITA,MNE,0.0,1.2,12.0,0.0,dc_subsea_transmission,all,False,
115,ITA-CHE,1.0,755.0,0.0,11.325,0.0,60.0,0.05,ITA,CHE,0.0,1.0,40.0,0.0,dc_underground_transmission,all,False,
116,ITA-FRA,1.0,755.0,0.0,11.325,0.0,60.0,0.05,ITA,FRA,0.0,1.1,11.0,0.0,dc_underground_transmission,all,False,
117,ITA-SVN,1.0,755.0,0.0,11.325,0.0,60.0,0.05,ITA,SVN,0.0,1.0,40.0,0.0,dc_underground_transmission,all,False,
